nome_territorio,2020,2021,2022,2023,2024,2025,2026
PAQ ESPECIAL QUILOMBOLA EREPECURÚ,46,14,45,80,51,41,67
PAQ ESPECIAL QUILOMBOLA ÁREA DAS CABECEIRAS,125,92,87,254,172,104,237
