nome_territorio,2020,2021,2022,2023,2024,2025,2026
ESTAÇÃO ECOLOGICA DO GRÃO PARÁ,0,0,0,2,0,0,0
FLORESTA ESTADUAL DO TROMBETAS,57,30,42,85,75,14,45
Parque do Tumucumaque,90,79,71,328,56,188,544
