municipio,focos
QUATIPURU,22
REBOUCAS,22
SAO JOSE DOS PINHAIS,22
SANTA CRUZ,21
RIO TINTO,21
VIGIA,21
LIMOEIRO DO AJURU,21
NOVA ESPERANCA,21
IRETAMA,21
CRUZEIRO DO OESTE,21
SAO JOAO DA PONTA,21
SANTA IZABEL DO PARA,20
SANTA CRUZ DE MONTE CASTELO,20
SENGES,20
PALESTINA DO PARA,20
SAO PEDRO DO IVAI,20
BERNARDINO BATISTA,20
TERRA RICA,20
CARAMBEI,20
FLORESTOPOLIS,19
PORTO VITORIA,19
CORNELIO PROCOPIO,19
MARQUINHO,19
JAGUAPITA,19
TUNAS DO PARANA,19
PORTO AMAZONAS,19
SAO JOSE DE CAIANA,19
POCO DANTAS,19
ALTO PARANA,18
IGARACY,18
BALSA NOVA,18
POCO DE JOSE DE MOURA,18
LAGOA,18
MANFRINOPOLIS,17
MONTE HOREBE,17
CENTENARIO DO SUL,17
MALTA,17
VIEIROPOLIS,17
MOREIRA SALES,16
DIAMANTE DO SUL,16
ALTONIA,16
MANOEL RIBAS,16
INAJA,16
PEROBAL,16
AGUDOS DO SUL,16
SALINOPOLIS,16
ALTO PARAISO,16
ROLANDIA,16
PAULO FRONTIN,16
GOIOERE,16
PEDRAS DE FOGO,15
TAMARANA,15
CAMBARA,15
CORONEL VIVIDA,15
LUIZIANA,15
MARILUZ,15
CAMBE,15
CATANDUVAS,15
CIDADE GAUCHA,14
LOANDA,14
MARILENA,14
MARUMBI,14
MATO RICO,14
PARANACITY,14
COLOMBO,14
PEDRA BRANCA,14
ALVORADA DO SUL,13
ARAPONGAS,13
LARANJAL,13
ARARUNA,13
ARAPOTI,13
TRIUNFO,13
TELEMACO BORBA,13
TUNEIRAS DO OESTE,13
UNIAO DA VITORIA,13
CONTENDA,13
CAMPINA GRANDE DO SUL,13
CAMPO MAGRO,13
SANTO ANTONIO DO CAIUA,12
ICARAIMA,12
ASTORGA,12
CAMPO MOURAO,12
PATO BRANCO,11
TERRA ALTA,11
MANDAGUACU,11
RONCADOR,11
PAULISTA,11
MAMANGUAPE,11
NOVA TEBAS,11
SAO TOME,11
BOM JESUS DO SUL,11
IPORA,11
MARINGA,11
LASTRO,11
CAMPO BONITO,11
INGA,11
GUAPIRAMA,11
JANDAIA DO SUL,10
PLANALTO,10
ARAUCARIA,10
PEABIRU,10
AMAPORA,10
RENASCENCA,10
SAO SEBASTIAO DA AMOREIRA,10
CIANORTE,10
PRESIDENTE CASTELO BRANCO,10
ANAJAS,10
MARIZOPOLIS,10
COLARES,10
SAO MAMEDE,10
SANTO ANTONIO DO SUDOESTE,10
CONGONHINHAS,10
ITAMBE,10
SAO FRANCISCO,10
PIRAQUARA,10
FLOR DA SERRA DO SUL,9
ALTO PIQUIRI,9
PAULA FREITAS,9
ITAMBARACA,9
CAAPORA,9
BORRAZOPOLIS,9
JARDIM ALEGRE,9
CRUZEIRO DO SUL,9
PRATA,9
PLANALTINA DO PARANA,9
MARIA HELENA,9
MIRADOR,9
CARRAPATEIRA,9
MARMELEIRO,9
ITAUNA DO SUL,9
CORBELIA,9
SANTA IZABEL DO OESTE,9
SANTA HELENA,9
MOGEIRO,9
MANDAGUARI,9
COLORADO,9
TOMAZINA,9
ROSARIO DO IVAI,8
MAUA DA SERRA,8
ALAGOA GRANDE,8
IVAIPORA,8
ANDIRA,8
CRUZ DO ESPIRITO SANTO,8
SAO JOSE DA BOA VISTA,8
SAO JOAO DO CAIUA,8
BELEM,8
LOBATO,8
CAMPO DO TENENTE,8
SANTA FE,8
JARDIM OLINDA,8
TERRA BOA,8
UNIFLOR,8
SANTO INACIO,8
RIBEIRAO DO PINHAL,8
NOSSA SENHORA DAS GRACAS,8
SERRA GRANDE,8
GUAPOREMA,8
NATUBA,8
CARLOPOLIS,8
SAO BENTO,8
CAFELANDIA,8
DIAMANTE D'OESTE,8
NOVA ESPERANCA DO SUDOESTE,8
IBEMA,8
SAO CARLOS DO IVAI,8
BOM JESUS,8
DOURADINA,8
CAMBIRA,8
PAICANDU,8
PINHAIS,7
IVATE,7
AFUA,7
LUNARDELLI,7
FAXINAL,7
RIO BOM,7
SAO JOSE DO BONFIM,7
MARIOPOLIS,7
CAMPINA DA LAGOA,7
SAO MANOEL DO PARANA,7
ITAPEJARA D'OESTE,7
SANTANA DO ITARARE,7
RIACHO DOS CAVALOS,7
GRANDES RIOS,7
FOZ DO JORDAO,7
JERICO,7
AREIA,7
FLORAI,7
RIBEIRAO CLARO,6
BARBOSA FERRAZ,6
SAO JORGE D'OESTE,6
SANTA ISABEL DO IVAI,6
JATAIZINHO,6
ABATIA,6
SUME,6
MATUREIA,6
FORMOSA DO OESTE,6
BOA VISTA DA APARECIDA,6
TAMBOARA,6
LUCENA,6
TAPIRA,6
MUNHOZ DE MELO,6
BREJO DO CRUZ,6
EMAS,6
MARIALVA,6
TRES BARRAS DO PARANA,6
SANTA BARBARA DO PARA,5
QUINTA DO SOL,5
FIGUEIRA,5
SALGADO FILHO,5
TACIMA,5
FAZENDA RIO GRANDE,5
XAMBRE,5
IBIPORA,5
ASSAI,5
MARCACAO,5
PRIMEIRO DE MAIO,5
MIRASELVA,5
INDIANOPOLIS,5
BELA VISTA DO PARAISO,5
PEROLA D'OESTE,5
JACARAU,5
SAPE,5
DESTERRO,5
PINHALAO,5
AMPERE,5
AMPARO,5
ALHANDRA,5
MERCEDES,4
PITIMBU,4
MATELANDIA,4
MATARACA,4
MARILANDIA DO SUL,4
SALTO DO LONTRA,4
CAICARA,4
CONDADO,4
TEIXEIRA,4
CEU AZUL,4
CALIFORNIA,4
JAPIRA,4
BREJO DOS SANTOS,4
REALEZA,4
ATALAIA,4
SAUDADE DO IGUACU,4
ARIRANHA DO IVAI,4
PARAISO DO NORTE,4
CRUZEIRO DO IGUACU,4
QUATRO BARRAS,4
PALOTINA,4
SAO JOAO,4
BELEM DO BREJO DO CRUZ,4
BARRACAO,4
FOZ DO IGUACU,4
SAO DOMINGOS,4
SAO PEDRO DO PARANA,4
SANTA MONICA,4
ITABAIANA,3
SANTA TEREZINHA DE ITAIPU,3
ENEAS MARQUES,3
SANTA TEREZA DO OESTE,3
DOIS VIZINHOS,3
JANIOPOLIS,3
SAO BENTINHO,3
CONDE,3
SAO JOAO DO IVAI,3
ENGENHEIRO BELTRAO,3
FAGUNDES,3
TOLEDO,3
CURRAL DE CIMA,3
ALAGOA NOVA,3
FRANCISCO ALVES,3
GUARATUBA,3
GUARACI,3
CUITE DE MAMANGUAPE,3
CURITIBA,3
SALTO DO ITARARE,3
SANTA MARIANA,3
NOVA ALIANCA DO IVAI,3
JOAQUIM TAVORA,3
ARAPUA,3
SERTANOPOLIS,3
SERRA DA RAIZ,3
NOVO ITACOLOMI,3
SAO PEDRO DO IGUACU,3
VARZEA,3
AROEIRAS,3
PARANAPOEMA,3
PRANCHITA,3
SARANDI,3
BAIA DA TRAICAO,3
BELA VISTA DA CAROBA,3
PILOEZINHOS,3
BARRA DE SANTANA,3
CAFEARA,3
NOVA CANTU,3
CAFEZAL DO SUL,3
RIO BRANCO DO IVAI,3
JUNDIAI DO SUL,3
WENCESLAU BRAZ,3
JURIPIRANGA,3
TUPASSI,3
KALORE,3
LINDOESTE,3
MAMBORE,3
CAMPINA GRANDE,3
SAO JOSE DO BREJO DO CRUZ,3
PITANGUEIRAS,3
VITORINO,3
ANTONINA,3
MEDIANEIRA,3
DIAMANTE DO NORTE,3
SAO MIGUEL DO IGUACU,2
SERTANEJA,2
TERRA ROXA,2
VISTA SERRANA,2
SOLEDADE,2
MARECHAL CANDIDO RONDON,2
LIDIANOPOLIS,2
PICUI,2
PARANAGUA,2
OURO VELHO,2
BRAGANEY,2
NOVA OLIMPIA,2
NOVA LONDRINA,2
CACIMBA DE AREIA,2
CAPIM,2
MISSAL,2
MASSARANDUBA,2
CARAUBAS,2
LUPIONOPOLIS,2
LIVRAMENTO,2
CRUZMALTINA,2
LAGOA SECA,2
FLORIDA,2
JUAREZ TAVORA,2
GADO BRAVO,2
GURINHEM,2
ITATUBA,2
PASSAGEM,2
IGUATU,2
PILAR,2
RAMILANDIA,2
SAO JOAO DO TIGRE,2
SAO JOAO DO CARIRI,2
SANTA LUZIA,2
ALCANTIL,2
ALTAMIRA DO PARANA,2
SANTA AMELIA,2
ANAHY,2
SALGADO DE SAO FELIX,2
ARACAGI,2
ARARA,2
BANANEIRAS,2
ASSIS CHATEAUBRIAND,2
BENEVIDES,2
PILOES,2
QUIXABA,2
CACIMBAS,1
DONA INES,1
IGUARACU,1
BOM SUCESSO DO SUL,1
VERE,1
IRACEMA DO OESTE,1
FAROL,1
BARRA DE SAO MIGUEL,1
CABACEIRAS,1
UBIRATA,1
CORUMBATAI DO SUL,1
BARRA DE SANTA ROSA,1
ANANINDEUA,1
CABEDELO,1
CAPITAO LEONIDAS MARQUES,1
BOA ESPERANCA,1
UMBUZEIRO,1
CAMALAU,1
URAI,1
SAO JORGE DO PATROCINIO,1
ITAGUAJE,1
JABOTI,1
OURIZONA,1
PARARI,1
PEROLA,1
SAO SEBASTIAO DO UMBUZEIRO,1
PINHAL DE SAO BENTO,1
PIRPIRITUBA,1
QUEIMADAS,1
REMIGIO,1
SAO MIGUEL DE TAIPU,1
RIACHAO DO POCO,1
SABAUDIA,1
SALGADINHO,1
SAO JOSE DO SABUGI,1
SANTA CECILIA DO PAVAO,1
SANTA LUCIA,1
SERRA BRANCA,1
NOVA PRATA DO IGUACU,1
NOVA FLORESTA,1
TAPEROA,1
JAPURA,1
JESUITAS,1
JURANDA,1
LAGOA DE DENTRO,1
LEOPOLIS,1
SAO JOSE DAS PALMEIRAS,1
MARI,1
SERTAOZINHO,1
MATINHAS,1
SULINA,1
MULUNGU,1
NOVA AMERICA DA COLINA,1
NOVA FATIMA,1
SIQUEIRA CAMPOS,1
ZABELE,1
